No_gen, Best, MQ, No_clus, max_clus, min_clus
267,1.8410827113185528,1.9132662073838542,4,11,2
268,1.8410827113185528,1.9132662073838542,4,11,2
269,1.8410827113185528,1.9132662073838542,4,11,2
270,1.8410827113185528,1.9132662073838542,4,11,2
271,1.8410827113185528,1.9132662073838542,4,11,2
272,1.8410827113185528,1.9132662073838542,4,11,2
273,1.8410827113185528,1.9132662073838542,4,11,2
274,1.8410827113185528,1.9132662073838542,4,11,2
275,1.8410827113185528,1.9132662073838542,4,11,2
276,1.8410827113185528,1.9132662073838542,4,11,2
277,1.8410827113185528,1.9132662073838542,4,11,2
278,1.8410827113185528,1.9132662073838542,4,11,2
279,1.8410827113185528,1.9132662073838542,4,11,2
280,1.8410827113185528,1.9132662073838542,4,11,2
281,1.8410827113185528,1.9132662073838542,4,11,2
282,1.8410827113185528,1.9132662073838542,4,11,2
283,1.8410827113185528,1.9132662073838542,4,11,2
284,1.8410827113185528,1.9132662073838542,4,11,2
285,1.8410827113185528,1.9132662073838542,4,11,2
286,1.8410827113185528,1.9132662073838542,4,11,2
287,1.8410827113185528,1.9132662073838542,4,11,2
288,1.8410827113185528,1.9132662073838542,4,11,2
289,1.8410827113185528,1.9132662073838542,4,11,2
290,1.8410827113185528,1.9132662073838542,4,11,2
291,1.8410827113185528,1.9132662073838542,4,11,2
292,1.8410827113185528,1.9132662073838542,4,11,2
293,1.8410827113185528,1.9132662073838542,4,11,2
294,1.8410827113185528,1.9132662073838542,4,11,2
295,1.8410827113185528,1.9132662073838542,4,11,2
296,1.8410827113185528,1.9132662073838542,4,11,2
297,1.8410827113185528,1.9132662073838542,4,11,2
298,1.8410827113185528,1.9132662073838542,4,11,2
299,1.8410827113185528,1.9132662073838542,4,11,2
300,1.8410827113185528,1.9132662073838542,4,11,2
301,1.8410827113185528,1.9132662073838542,4,11,2
302,1.8410827113185528,1.9132662073838542,4,11,2
303,1.8410827113185528,1.9132662073838542,4,11,2
304,1.8410827113185528,1.9132662073838542,4,11,2
305,1.8410827113185528,1.9132662073838542,4,11,2
306,1.8410827113185528,1.9132662073838542,4,11,2
307,1.8410827113185528,1.9132662073838542,4,11,2
308,1.8410827113185528,1.9132662073838542,4,11,2
309,1.8410827113185528,1.9132662073838542,4,11,2
310,1.8410827113185528,1.9132662073838542,4,11,2
311,1.8410827113185528,1.9132662073838542,4,11,2
312,1.8410827113185528,1.9132662073838542,4,11,2
313,1.8410827113185528,1.9132662073838542,4,11,2
314,1.8410827113185528,1.9132662073838542,4,11,2
315,1.8410827113185528,1.9132662073838542,4,11,2
316,1.8410827113185528,1.9132662073838542,4,11,2
317,1.8410827113185528,1.9132662073838542,4,11,2
318,1.8410827113185528,1.9132662073838542,4,11,2
319,1.8410827113185528,1.9132662073838542,4,11,2
320,1.8410827113185528,1.9132662073838542,4,11,2
321,1.8410827113185528,1.9132662073838542,4,11,2
322,1.8410827113185528,1.9132662073838542,4,11,2
323,1.8410827113185528,1.9132662073838542,4,11,2
324,1.8410827113185528,1.9132662073838542,4,11,2
325,1.8410827113185528,1.9132662073838542,4,11,2
326,1.8410827113185528,1.9132662073838542,4,11,2
327,1.8410827113185528,1.9132662073838542,4,11,2
328,1.8410827113185528,1.9132662073838542,4,11,2
329,1.8410827113185528,1.9132662073838542,4,11,2
330,1.8410827113185528,1.9132662073838542,4,11,2
331,1.8410827113185528,1.9132662073838542,4,11,2
332,1.8410827113185528,1.9132662073838542,4,11,2
333,1.8410827113185528,1.9132662073838542,4,11,2
334,1.8410827113185528,1.9132662073838542,4,11,2
335,1.8410827113185528,1.9132662073838542,4,11,2
336,1.8410827113185528,1.9132662073838542,4,11,2
337,1.8410827113185528,1.9132662073838542,4,11,2
338,1.8410827113185528,1.9132662073838542,4,11,2
339,1.8410827113185528,1.9132662073838542,4,11,2
340,1.8410827113185528,1.9132662073838542,4,11,2
341,1.8410827113185528,1.9132662073838542,4,11,2
342,1.8410827113185528,1.9132662073838542,4,11,2
343,1.8410827113185528,1.9132662073838542,4,11,2
344,1.8410827113185528,1.9132662073838542,4,11,2
345,1.8410827113185528,1.9132662073838542,4,11,2
346,1.8410827113185528,1.9132662073838542,4,11,2
347,1.8410827113185528,1.9132662073838542,4,11,2
348,1.8410827113185528,1.9132662073838542,4,11,2
349,1.8410827113185528,1.9132662073838542,4,11,2
350,1.8410827113185528,1.9132662073838542,4,11,2
351,1.8410827113185528,1.9132662073838542,4,11,2
352,1.8410827113185528,1.9132662073838542,4,11,2
353,1.8410827113185528,1.9132662073838542,4,11,2
354,1.8410827113185528,1.9132662073838542,4,11,2
355,1.8410827113185528,1.9132662073838542,4,11,2
356,1.8410827113185528,1.9132662073838542,4,11,2
357,1.8410827113185528,1.9132662073838542,4,11,2
358,1.8410827113185528,1.9132662073838542,4,11,2
359,1.8410827113185528,1.9132662073838542,4,11,2
360,1.8410827113185528,1.9132662073838542,4,11,2
361,1.8410827113185528,1.9132662073838542,4,11,2
362,1.8410827113185528,1.9132662073838542,4,11,2
363,1.8410827113185528,1.9132662073838542,4,11,2
364,1.8410827113185528,1.9132662073838542,4,11,2
365,1.8410827113185528,1.9132662073838542,4,11,2
366,1.8410827113185528,1.9132662073838542,4,11,2
367,1.8410827113185528,1.9132662073838542,4,11,2
368,1.8410827113185528,1.9132662073838542,4,11,2
369,1.8410827113185528,1.9132662073838542,4,11,2
370,1.8410827113185528,1.9132662073838542,4,11,2
371,1.8410827113185528,1.9132662073838542,4,11,2
372,1.8410827113185528,1.9132662073838542,4,11,2
373,1.8410827113185528,1.9132662073838542,4,11,2
374,1.8410827113185528,1.9132662073838542,4,11,2
375,1.8410827113185528,1.9132662073838542,4,11,2
376,1.8410827113185528,1.9132662073838542,4,11,2
377,1.8410827113185528,1.9132662073838542,4,11,2
378,1.8410827113185528,1.9132662073838542,4,11,2
379,1.8410827113185528,1.9132662073838542,4,11,2
380,1.8410827113185528,1.9132662073838542,4,11,2
381,1.8410827113185528,1.9132662073838542,4,11,2
382,1.8410827113185528,1.9132662073838542,4,11,2
383,1.8410827113185528,1.9132662073838542,4,11,2
384,1.8410827113185528,1.9132662073838542,4,11,2
385,1.8410827113185528,1.9132662073838542,4,11,2
386,1.8410827113185528,1.9132662073838542,4,11,2
387,1.8410827113185528,1.9132662073838542,4,11,2
388,1.8410827113185528,1.9132662073838542,4,11,2
389,1.8410827113185528,1.9132662073838542,4,11,2
390,1.8410827113185528,1.9132662073838542,4,11,2
391,1.8410827113185528,1.9132662073838542,4,11,2
392,1.8410827113185528,1.9132662073838542,4,11,2
393,1.8410827113185528,1.9132662073838542,4,11,2
394,1.8410827113185528,1.9132662073838542,4,11,2
395,1.8410827113185528,1.9132662073838542,4,11,2
396,1.8410827113185528,1.9132662073838542,4,11,2
397,1.8410827113185528,1.9132662073838542,4,11,2
398,1.8410827113185528,1.9132662073838542,4,11,2
399,1.8410827113185528,1.9132662073838542,4,11,2
400,1.8410827113185528,1.9132662073838542,4,11,2
401,1.8410827113185528,1.9132662073838542,4,11,2
402,1.8410827113185528,1.9132662073838542,4,11,2
403,1.8410827113185528,1.9132662073838542,4,11,2
404,1.8410827113185528,1.9132662073838542,4,11,2
405,1.8410827113185528,1.9132662073838542,4,11,2
406,1.8410827113185528,1.9132662073838542,4,11,2
407,1.8410827113185528,1.9132662073838542,4,11,2
408,1.8410827113185528,1.9132662073838542,4,11,2
409,1.8410827113185528,1.9132662073838542,4,11,2
410,1.8410827113185528,1.9132662073838542,4,11,2
411,1.8410827113185528,1.9132662073838542,4,11,2
412,1.8410827113185528,1.9132662073838542,4,11,2
413,1.8410827113185528,1.9132662073838542,4,11,2
414,1.8410827113185528,1.9132662073838542,4,11,2
415,1.8410827113185528,1.9132662073838542,4,11,2
416,1.8410827113185528,1.9132662073838542,4,11,2
417,1.8410827113185528,1.9132662073838542,4,11,2
418,1.8410827113185528,1.9132662073838542,4,11,2
419,1.8410827113185528,1.9132662073838542,4,11,2
420,1.8410827113185528,1.9132662073838542,4,11,2
421,1.8410827113185528,1.9132662073838542,4,11,2
422,1.8410827113185528,1.9132662073838542,4,11,2
423,1.8410827113185528,1.9132662073838542,4,11,2
424,1.8410827113185528,1.9132662073838542,4,11,2
425,1.8410827113185528,1.9132662073838542,4,11,2
426,1.8410827113185528,1.9132662073838542,4,11,2
427,1.8410827113185528,1.9132662073838542,4,11,2
428,1.8410827113185528,1.9132662073838542,4,11,2
429,1.8410827113185528,1.9132662073838542,4,11,2
430,1.8410827113185528,1.9132662073838542,4,11,2
431,1.8410827113185528,1.9132662073838542,4,11,2
432,1.8410827113185528,1.9132662073838542,4,11,2
433,1.8410827113185528,1.9132662073838542,4,11,2
434,1.8410827113185528,1.9132662073838542,4,11,2
435,1.8410827113185528,1.9132662073838542,4,11,2
436,1.8410827113185528,1.9132662073838542,4,11,2
437,1.8410827113185528,1.9132662073838542,4,11,2
438,1.8410827113185528,1.9132662073838542,4,11,2
439,1.8410827113185528,1.9132662073838542,4,11,2
440,1.8410827113185528,1.9132662073838542,4,11,2
441,1.8410827113185528,1.9132662073838542,4,11,2
442,1.8410827113185528,1.9132662073838542,4,11,2
443,1.8410827113185528,1.9132662073838542,4,11,2
444,1.8410827113185528,1.9132662073838542,4,11,2
445,1.8410827113185528,1.9132662073838542,4,11,2
446,1.8410827113185528,1.9132662073838542,4,11,2
447,1.8410827113185528,1.9132662073838542,4,11,2
448,1.8410827113185528,1.9132662073838542,4,11,2
449,1.8410827113185528,1.9132662073838542,4,11,2
450,1.8410827113185528,1.9132662073838542,4,11,2
451,1.8410827113185528,1.9132662073838542,4,11,2
452,1.8410827113185528,1.9132662073838542,4,11,2
453,1.8410827113185528,1.9132662073838542,4,11,2
454,1.8410827113185528,1.9132662073838542,4,11,2
455,1.8410827113185528,1.9132662073838542,4,11,2
456,1.8410827113185528,1.9132662073838542,4,11,2
457,1.8410827113185528,1.9132662073838542,4,11,2
458,1.8410827113185528,1.9132662073838542,4,11,2
